,hour,dhi,dni,windspeed,humidity,temp,pv
32,8,34.0,604.5,2.55,65.565,-7.5,0.551398515025
33,9,36.0,399.5,3.15,61.575,-3.0,0.6241146339
34,10,62.0,924.0,2.55,55.845,-0.5,1.9403148202499998
35,11,66.5,966.5,2.0,57.75,0.0,2.3180425742499997
36,12,66.5,979.0,1.6,58.870000000000005,1.0,2.41890245875
37,13,63.0,965.0,1.2999999999999998,60.67,1.5,2.22415756725
38,14,55.0,919.0,1.05,61.335,0.5,1.7619834057500001
39,15,42.5,812.0,0.55,75.04,-0.5,1.0792554644999999
40,16,21.0,515.0,0.45,71.6,-2.5,0.3120517733
41,17,0.0,0.0,0.6000000000000001,70.505,-4.5,0.0
42,18,0.0,0.0,1.4,73.61,-6.0,0.0
43,19,0.0,0.0,1.9,74.96000000000001,-7.0,0.0
44,20,0.0,0.0,2.2,71.265,-8.0,0.0
45,21,0.0,0.0,2.2,74.5,-8.0,0.0
46,22,0.0,0.0,2.2,72.82499999999999,-8.0,0.0
47,23,0.0,0.0,2.2,72.5,-8.0,0.0
48,0,0.0,0.0,2.1500000000000004,71.0,-8.0,0.0
49,1,0.0,0.0,2.1,69.05000000000001,-8.0,0.0
50,2,0.0,0.0,2.2,69.37,-7.5,0.0
51,3,0.0,0.0,2.2,70.025,-7.0,0.0
52,4,0.0,0.0,2.3499999999999996,69.48,-7.0,0.0
53,5,0.0,0.0,2.5,68.32,-7.0,0.0
54,6,0.0,0.0,2.6,69.685,-6.5,0.0
55,7,0.0,0.0,2.5,68.81,-5.0,0.0
56,8,13.0,0.0,2.1,69.44999999999999,-2.5,0.061002667450000006
57,9,54.0,0.0,1.9,70.22,-1.0,0.25339205395
58,10,128.5,32.5,2.4000000000000004,72.025,-0.5,0.6569396805000001
59,11,99.0,0.0,3.3,75.285,0.0,0.46454699369999997
60,12,114.0,10.0,4.1,76.0,0.0,0.55604867425
61,13,121.0,1.5,4.85,79.14500000000001,-1.0,0.5701321214
62,14,38.0,0.0,5.199999999999999,81.6,-2.5,0.17831560845
63,15,90.5,346.0,4.75,83.72,-4.5,0.7719372885
64,16,36.5,201.5,3.4000000000000004,83.195,-7.5,0.286258716625
65,17,0.0,0.0,2.45,83.805,-9.0,0.0
66,18,0.0,0.0,1.85,85.245,-10.0,0.0
67,19,0.0,0.0,1.35,85.295,-11.0,0.0
68,20,0.0,0.0,0.8,86.81,-12.0,0.0
69,21,0.0,0.0,0.45,82.89500000000001,-12.0,0.0
70,22,0.0,0.0,0.55,79.08500000000001,-13.0,0.0
71,23,0.0,0.0,1.25,81.08500000000001,-13.0,0.0
72,0,0.0,0.0,1.9,77.765,-13.5,0.0
73,1,0.0,0.0,2.2,74.63,-13.0,0.0
74,2,0.0,0.0,2.2,72.61500000000001,-12.5,0.0
75,3,0.0,0.0,2.2,73.015,-12.0,0.0
76,4,0.0,0.0,2.25,72.77,-12.0,0.0
77,5,0.0,0.0,2.1,69.805,-11.5,0.0
78,6,0.0,0.0,1.85,67.97999999999999,-11.0,0.0
79,7,0.0,0.0,1.9500000000000002,64.315,-10.0,0.0
80,8,49.5,136.0,2.5,60.295,-7.0,0.321452444225
81,9,108.5,251.5,2.8,56.61,-4.0,0.8258971107499999
82,10,154.5,154.0,2.7,54.09,-1.5,0.9901124605
83,11,200.5,254.0,3.1,50.935,0.0,1.46871928275
84,12,133.0,3.0,3.5,54.635000000000005,0.0,0.63112697625
85,13,136.0,24.0,3.5,57.394999999999996,0.5,0.6874302880750001
86,14,83.0,701.5,3.0,59.019999999999996,0.0,1.57429814525
87,15,69.0,83.5,2.4,67.635,0.0,0.429354039575
88,16,9.5,0.0,2.2,65.745,-1.0,0.044578231725
89,17,0.0,0.0,2.1,64.37,-2.0,0.0
90,18,0.0,0.0,1.7999999999999998,66.975,-3.0,0.0
91,19,0.0,0.0,1.45,65.33500000000001,-4.0,0.0
92,20,0.0,0.0,1.35,69.08,-4.0,0.0
93,21,0.0,0.0,1.6,67.63,-5.0,0.0
94,22,0.0,0.0,1.95,71.865,-5.0,0.0
95,23,0.0,0.0,2.1,72.17500000000001,-5.0,0.0
96,0,0.0,0.0,2.05,72.1,-5.0,0.0
97,1,0.0,0.0,2.0,72.125,-5.0,0.0
98,2,0.0,0.0,2.0,72.93,-5.0,0.0
99,3,0.0,0.0,2.0,71.305,-5.0,0.0
100,4,0.0,0.0,2.05,70.63499999999999,-4.5,0.0
101,5,0.0,0.0,2.4,71.155,-3.5,0.0
102,6,0.0,0.0,3.0,69.695,-2.5,0.0
103,7,0.0,0.0,3.7,69.87,-1.5,0.0
104,8,48.0,193.0,4.3,69.275,0.5,0.349580739475
105,9,63.5,0.0,5.300000000000001,70.795,2.5,0.29795832172500003
106,10,113.0,0.0,6.8,65.53999999999999,4.0,0.53021719885
107,11,187.5,84.5,7.550000000000001,64.525,5.0,1.053384539
108,12,208.0,85.5,7.9,67.17500000000001,6.0,1.1612909045
109,13,185.0,107.0,7.6,69.275,5.5,1.081532379
110,14,147.5,68.0,7.199999999999999,72.35,5.0,0.8023552612500001
111,15,82.0,2.0,6.65,77.25999999999999,4.5,0.389449043925
112,16,24.5,0.0,5.7,78.205,3.5,0.114958879825
113,17,0.0,0.0,4.75,79.38,3.0,0.0
114,18,0.0,0.0,4.0,80.905,3.0,0.0
115,19,0.0,0.0,2.9000000000000004,76.97,3.0,0.0
116,20,0.0,0.0,1.9500000000000002,78.525,2.5,0.0
117,21,0.0,0.0,1.45,79.80000000000001,2.0,0.0
118,22,0.0,0.0,1.3,81.715,1.5,0.0
119,23,0.0,0.0,1.35,79.155,1.0,0.0
120,0,0.0,0.0,1.6,77.41499999999999,1.0,0.0
121,1,0.0,0.0,1.95,76.77,1.0,0.0
122,2,0.0,0.0,2.2,76.38,0.5,0.0
123,3,0.0,0.0,2.3499999999999996,76.205,0.0,0.0
124,4,0.0,0.0,2.55,81.63499999999999,0.0,0.0
125,5,0.0,0.0,2.6500000000000004,81.5,0.0,0.0
126,6,0.0,0.0,2.6,81.8,0.0,0.0
127,7,0.0,0.0,2.7,80.045,0.5,0.0
128,8,43.0,316.0,3.05,76.5,2.5,0.40822625165000004
129,9,105.5,276.5,3.25,73.52000000000001,5.5,0.8656932962500001
130,10,144.0,410.0,3.3499999999999996,67.99000000000001,7.5,1.41229370175
131,11,103.5,711.0,3.3,63.769999999999996,9.0,1.9823403220000002
132,12,101.5,743.0,3.3499999999999996,60.35,9.0,2.1019845310000003
133,13,120.0,624.5,3.05,63.745000000000005,8.5,1.839245979
134,14,126.0,437.0,2.45,74.35,7.5,1.33252921975
135,15,89.0,280.0,1.95,86.89500000000001,5.0,0.7390097489999999
136,16,35.0,88.5,1.95,92.66,2.5,0.21818968862499996
137,17,0.0,0.0,2.2,90.065,1.0,0.0
138,18,0.0,0.0,2.6,87.11500000000001,1.0,0.0
139,19,0.0,0.0,3.0,84.305,1.0,0.0
140,20,0.0,0.0,2.9,81.26,0.5,0.0
141,21,0.0,0.0,2.5,78.275,0.0,0.0
142,22,0.0,0.0,1.75,85.19,0.0,0.0
143,23,0.0,0.0,1.3,92.095,-1.0,0.0
144,0,0.0,0.0,1.85,86.525,-2.0,0.0
145,1,0.0,0.0,1.5499999999999998,85.725,-3.0,0.0
146,2,0.0,0.0,1.05,87.04,-4.0,0.0
147,3,0.0,0.0,0.9,90.47,-4.0,0.0
148,4,0.0,0.0,0.9,87.83,-4.0,0.0
149,5,0.0,0.0,0.95,84.27000000000001,-5.0,0.0
150,6,0.0,0.0,1.15,86.61,-5.0,0.0
151,7,0.0,0.0,1.35,80.32,-5.5,0.0
152,8,12.5,0.0,1.5,75.785,-4.5,0.05865770815
153,9,46.0,0.0,1.4,69.17500000000001,-2.5,0.215856203375
154,10,74.0,0.0,1.05,63.72,-0.5,0.34723864225000006
155,11,151.5,9.0,0.95,59.645,0.5,0.72966260625
156,12,209.5,88.5,0.9,61.055,2.0,1.1754188297500001
157,13,201.0,129.0,0.9,59.485,3.0,1.2059054665
158,14,107.5,605.0,0.9,59.945,2.5,1.496833371
159,15,48.0,783.5,1.0,68.625,1.5,1.1214626175
160,16,35.0,309.5,1.1,74.25999999999999,-0.5,0.35662288845
161,17,0.0,0.0,1.65,80.625,-2.0,0.0
162,18,0.0,0.0,2.4000000000000004,77.53999999999999,-1.5,0.0
163,19,0.0,0.0,3.05,73.935,-1.0,0.0
164,20,0.0,0.0,3.1500000000000004,67.66,-0.5,0.0
165,21,0.0,0.0,3.05,63.620000000000005,0.0,0.0
166,22,0.0,0.0,3.3,58.935,0.0,0.0
167,23,0.0,0.0,3.8,54.885,0.0,0.0
168,0,0.0,0.0,4.25,55.66,1.0,0.0
169,1,0.0,0.0,4.75,59.42,1.0,0.0
170,2,0.0,0.0,4.85,62.705,2.0,0.0
171,3,0.0,0.0,4.6,64.25999999999999,1.5,0.0
172,4,0.0,0.0,4.300000000000001,64.11,1.0,0.0
173,5,0.0,0.0,4.05,63.795,1.0,0.0
174,6,0.0,0.0,4.05,63.775000000000006,1.0,0.0
175,7,0.0,0.0,4.300000000000001,64.315,1.5,0.0
176,8,30.0,644.5,4.449999999999999,62.3,3.5,0.563064523075
177,9,47.0,850.5,3.7,59.81,5.5,1.3349043725
178,10,58.0,930.0,2.7,55.965,7.0,1.958923733
179,11,66.5,960.0,2.45,51.59,8.0,2.34364467175
180,12,68.0,968.0,2.3,55.035,8.0,2.453906233
181,13,66.0,952.0,2.3,60.76,7.5,2.2709310027500003
182,14,59.0,905.0,2.15,66.75999999999999,6.5,1.8181719512499999
183,15,48.0,792.5,1.75,83.33500000000001,4.0,1.1425455922499999
184,16,26.5,495.0,1.7,89.12,0.5,0.366003705575
185,17,0.0,0.0,1.6,92.185,-1.0,0.0
186,18,0.0,0.0,1.3,97.205,-2.0,0.0
187,19,0.0,0.0,1.35,100.0,-2.0,0.0
188,20,0.0,0.0,1.7000000000000002,100.0,-3.0,0.0
189,21,0.0,0.0,2.05,98.065,-4.0,0.0
190,22,0.0,0.0,2.3499999999999996,94.255,-5.0,0.0
191,23,0.0,0.0,2.55,91.72999999999999,-6.0,0.0
192,0,0.0,0.0,2.4,84.72,-7.0,0.0
193,1,0.0,0.0,2.05,87.32,-7.0,0.0
194,2,0.0,0.0,1.5499999999999998,84.645,-7.0,0.0
195,3,0.0,0.0,1.2,83.485,-7.0,0.0
196,4,0.0,0.0,1.35,80.245,-7.0,0.0
197,5,0.0,0.0,1.55,78.375,-7.0,0.0
198,6,0.0,0.0,1.45,78.88,-6.5,0.0
199,7,0.0,0.0,1.7000000000000002,76.405,-5.5,0.0
200,8,36.5,576.0,1.8,69.43,-3.0,0.5537185667
201,9,104.5,17.5,1.0,62.545,0.0,0.516163326375
202,10,170.5,86.0,0.7,61.195,1.5,0.9548860900000001
203,11,209.0,206.5,1.35,59.599999999999994,3.0,1.42409458775
204,12,222.5,181.0,1.5,57.6,3.0,1.445209664
205,13,142.0,590.5,1.45,59.47,4.0,1.8721828525
206,14,72.0,867.0,1.25,63.3,3.5,1.82527020725
207,15,55.0,758.0,1.0,74.055,1.5,1.14727034525
208,16,28.5,475.5,0.9,76.54499999999999,-0.5,0.37539256709999996
209,17,0.0,0.0,1.25,80.97999999999999,-2.0,0.0
210,18,0.0,0.0,1.65,85.885,-2.0,0.0
211,19,0.0,0.0,2.25,84.9,-2.0,0.0
212,20,0.0,0.0,2.9,83.24000000000001,-2.0,0.0
213,21,0.0,0.0,3.25,81.165,-2.0,0.0
214,22,0.0,0.0,3.5,79.385,-2.0,0.0
215,23,0.0,0.0,3.6500000000000004,78.035,-2.0,0.0
216,0,0.0,0.0,3.8,74.565,-2.0,0.0
217,1,0.0,0.0,3.8499999999999996,70.16499999999999,-1.5,0.0
218,2,0.0,0.0,3.7,70.44,-0.5,0.0
219,3,0.0,0.0,3.45,71.81,0.0,0.0
220,4,0.0,0.0,3.25,72.06,0.0,0.0
221,5,0.0,0.0,3.2,73.64,0.0,0.0
222,6,0.0,0.0,3.1500000000000004,74.255,0.0,0.0
223,7,0.0,0.0,3.0,71.75999999999999,0.5,0.0
224,8,48.5,225.0,3.1500000000000004,69.9,2.5,0.38007271342500004
225,9,84.5,474.0,3.5,67.11500000000001,4.5,1.0369665495
226,10,83.0,713.5,3.75,58.34,7.0,1.6985159074999998
227,11,107.0,709.0,3.45,54.3,8.0,2.01755196975
228,12,94.5,840.5,2.95,49.845,9.0,2.31312137
229,13,80.5,918.5,2.3,52.1,8.5,2.29436579525
230,14,69.0,875.0,1.45,59.625,7.0,1.83927529575
231,15,54.5,759.0,0.7,74.965,4.5,1.15661684325
232,16,29.5,466.5,0.45,76.875,2.0,0.38007353867500004
233,17,0.0,0.0,0.44999999999999996,78.215,0.0,0.0
234,18,0.0,0.0,1.1,84.375,0.0,0.0
235,19,0.0,0.0,1.45,81.485,-1.0,0.0
236,20,0.0,0.0,1.75,78.49000000000001,-1.0,0.0
237,21,0.0,0.0,1.95,75.61,-1.0,0.0
238,22,0.0,0.0,2.1500000000000004,73.50999999999999,-1.0,0.0
239,23,0.0,0.0,2.3,77.91499999999999,-1.0,0.0
240,0,0.0,0.0,2.3499999999999996,77.31,-1.0,0.0
241,1,0.0,0.0,2.1500000000000004,76.92500000000001,-1.0,0.0
242,2,0.0,0.0,1.95,76.83500000000001,-1.0,0.0
243,3,0.0,0.0,1.85,76.965,-1.0,0.0
244,4,0.0,0.0,1.75,77.16,-1.0,0.0
245,5,0.0,0.0,1.7,75.09,-0.5,0.0
246,6,0.0,0.0,1.65,71.92500000000001,0.0,0.0
247,7,0.0,0.0,1.55,70.055,0.0,0.0
248,8,8.5,0.0,1.55,75.615,1.5,0.039884600199999995
249,9,66.0,0.0,1.65,77.285,3.0,0.309687785125
250,10,133.5,11.0,1.5,75.36500000000001,4.0,0.64752188875
251,11,135.0,603.0,2.1500000000000004,77.38,4.0,1.9308351975
252,12,180.0,436.0,2.3499999999999996,81.455,4.0,1.820568789
253,13,93.5,0.0,2.25,80.345,3.5,0.4387219643250001
254,14,97.0,0.0,2.05,81.725,2.5,0.45514988095
255,15,93.5,94.0,1.5499999999999998,92.165,1.5,0.5654227615
256,16,36.5,18.5,1.0,93.28999999999999,0.0,0.18300336112499999
257,17,0.0,0.0,0.75,96.32499999999999,0.0,0.0
258,18,0.0,0.0,0.6,93.47,0.0,0.0
259,19,0.0,0.0,0.6,97.77000000000001,-1.0,0.0
260,20,0.0,0.0,0.7,95.37,-1.0,0.0
261,21,0.0,0.0,0.7,99.125,-2.0,0.0
262,22,0.0,0.0,0.8,94.89,-3.0,0.0
263,23,0.0,0.0,0.9,97.69,-3.0,0.0
264,0,0.0,0.0,0.95,93.545,-4.0,0.0
265,1,0.0,0.0,0.8500000000000001,97.65,-4.0,0.0
266,2,0.0,0.0,0.75,94.86,-4.0,0.0
267,3,0.0,0.0,0.7,92.02,-4.0,0.0
268,4,0.0,0.0,0.6499999999999999,89.58,-4.0,0.0
269,5,0.0,0.0,0.55,87.475,-4.0,0.0
270,6,0.0,0.0,0.45,85.535,-4.0,0.0
271,7,0.0,0.0,0.4,81.25999999999999,-3.5,0.0
272,8,20.5,0.0,0.4,77.52000000000001,-2.5,0.09619652395
273,9,46.5,0.0,0.35,73.71000000000001,-0.5,0.21819773332499998
274,10,168.0,83.5,1.05,67.985,0.0,0.9502097597500001
275,11,204.0,264.5,1.6,68.195,1.0,1.52031890725
276,12,218.5,95.0,2.05,69.45,2.0,1.23876475475
277,13,179.0,40.0,2.1500000000000004,64.85,3.0,0.926717236
278,14,152.5,197.5,1.9,66.81,2.5,1.081565254
279,15,83.5,84.5,1.5499999999999998,71.67,0.5,0.47862216420000003
280,16,17.0,133.5,1.1,81.96000000000001,-1.5,0.12200471605
281,17,0.0,0.0,1.05,82.455,-3.0,0.0
282,18,0.0,0.0,1.0,85.33,-4.0,0.0
283,19,0.0,0.0,1.05,89.225,-4.0,0.0
284,20,0.0,0.0,1.2,86.94,-4.0,0.0
285,21,0.0,0.0,1.2,85.845,-4.0,0.0
286,22,0.0,0.0,1.2,85.245,-4.0,0.0
287,23,0.0,0.0,1.15,84.69,-4.0,0.0
288,0,0.0,0.0,0.95,84.11,-4.0,0.0
289,1,0.0,0.0,0.8500000000000001,81.255,-4.0,0.0
290,2,0.0,0.0,0.8,78.56,-3.5,0.0
291,3,0.0,0.0,0.8,79.465,-3.0,0.0
292,4,0.0,0.0,0.8,80.66,-3.0,0.0
293,5,0.0,0.0,0.8,80.745,-3.0,0.0
294,6,0.0,0.0,0.8,80.735,-3.0,0.0
295,7,0.0,0.0,0.9500000000000001,79.39,-2.5,0.0
296,8,49.0,249.5,1.65,77.765,-1.5,0.40355172635000003
297,9,56.5,384.0,2.5,75.69999999999999,-0.5,0.8352471411250001
298,10,106.0,686.0,3.05,76.945,0.0,1.7526091122499998
299,11,130.0,628.0,3.6,79.705,0.0,1.97080542775
300,12,186.5,442.5,3.95,80.685,0.0,1.87695755025
301,13,166.5,16.0,4.1,79.865,0.0,0.8164765342500001
302,14,127.0,4.5,4.05,78.755,-1.0,0.6053254622500001
303,15,94.0,11.5,3.8,83.595,-1.0,0.45516720804999994
304,16,40.5,54.5,3.45,88.56,-2.0,0.22523985662499996
305,17,0.0,0.0,2.95,92.91,-3.0,0.0
306,18,0.0,0.0,2.75,89.42500000000001,-4.0,0.0
307,19,0.0,0.0,2.4000000000000004,92.07,-4.0,0.0
308,20,0.0,0.0,1.65,95.03,-5.0,0.0
309,21,0.0,0.0,1.25,100.0,-6.0,0.0
310,22,0.0,0.0,1.15,98.42500000000001,-6.0,0.0
311,23,0.0,0.0,0.95,96.28999999999999,-6.0,0.0
312,0,0.0,0.0,0.75,94.32499999999999,-6.0,0.0
313,1,0.0,0.0,0.6,90.955,-7.0,0.0
314,2,0.0,0.0,0.75,94.32,-7.0,0.0
315,3,0.0,0.0,1.05,97.03999999999999,-8.0,0.0
316,4,0.0,0.0,1.2,92.12,-8.0,0.0
317,5,0.0,0.0,1.3,88.295,-8.5,0.0
318,6,0.0,0.0,1.4,85.61500000000001,-8.0,0.0
319,7,0.0,0.0,1.5,77.83,-7.0,0.0
320,8,35.0,624.0,2.05,66.53,-4.0,0.591265401325
321,9,55.0,840.5,2.35,56.845,-0.5,1.39130138475
322,10,66.5,931.0,1.95,54.75,1.5,2.0458492557500003
323,11,77.0,959.0,2.25,51.84,3.0,2.4470027265
324,12,78.0,970.0,2.8,47.42,3.0,2.56900094475
325,13,74.5,956.0,3.1,47.68,3.5,2.3930283875000002
326,14,83.5,762.0,2.8,50.32,2.5,1.77132830525
327,15,65.5,668.5,1.65,61.405,1.0,1.11443080775
328,16,29.0,586.0,0.95,67.375,-1.0,0.46689832165
329,17,0.0,0.0,1.2000000000000002,67.49000000000001,-2.0,0.0
330,18,0.0,0.0,1.65,70.41499999999999,-3.0,0.0
331,19,0.0,0.0,2.2,66.58,-4.0,0.0
332,20,0.0,0.0,2.1500000000000004,64.66,-4.0,0.0
333,21,0.0,0.0,2.0,57.51,-5.0,0.0
334,22,0.0,0.0,2.0,56.64,-5.0,0.0
335,23,0.0,0.0,2.1,53.715,-5.0,0.0
336,0,0.0,0.0,2.1,52.66,-5.0,0.0
337,1,0.0,0.0,2.1,52.07,-5.0,0.0
338,2,0.0,0.0,2.25,51.545,-5.0,0.0
339,3,0.0,0.0,2.4,51.27,-5.0,0.0
340,4,0.0,0.0,2.3499999999999996,51.86,-5.0,0.0
341,5,0.0,0.0,2.25,52.555,-5.0,0.0
342,6,0.0,0.0,2.1500000000000004,52.269999999999996,-5.0,0.0
343,7,0.0,0.0,1.95,48.83,-4.0,0.0
344,8,30.0,691.5,2.15,45.47,-0.5,0.6147058407999999
345,9,46.0,888.5,3.1500000000000004,42.16,1.5,1.417078558
346,10,55.0,970.0,2.8,40.455,4.5,2.0739347747499997
347,11,64.0,1002.0,1.95,33.035,6.5,2.49148277125
348,12,64.5,1014.0,1.75,31.810000000000002,8.0,2.61812557925
349,13,62.0,1003.0,1.4500000000000002,33.835,7.5,2.44922727275
350,14,55.0,963.5,0.9,42.725,6.5,1.99412413875
351,15,44.5,873.0,0.5,56.235,5.0,1.3067577445
352,16,27.0,641.0,1.0,55.095,1.5,0.492692126
353,17,0.0,0.0,1.5,56.91,0.0,0.0
354,18,0.0,0.0,1.9,61.394999999999996,-1.0,0.0
355,19,0.0,0.0,2.35,63.870000000000005,-1.0,0.0
356,20,0.0,0.0,2.9,56.620000000000005,-1.0,0.0
357,21,0.0,0.0,3.3499999999999996,50.75,-0.5,0.0
358,22,0.0,0.0,3.7,48.335,0.0,0.0
359,23,0.0,0.0,4.05,48.085,0.0,0.0
360,0,0.0,0.0,4.35,49.13,0.0,0.0
361,1,0.0,0.0,4.6,49.995000000000005,0.0,0.0
362,2,0.0,0.0,4.8,50.010000000000005,0.0,0.0
363,3,0.0,0.0,4.9,49.010000000000005,0.0,0.0
364,4,0.0,0.0,5.0,47.275000000000006,0.0,0.0
365,5,0.0,0.0,5.0,45.504999999999995,-1.0,0.0
366,6,0.0,0.0,5.0,44.695,-0.5,0.0
367,7,0.0,0.0,5.1,44.285,0.0,0.0
368,8,31.5,0.0,5.199999999999999,43.385000000000005,1.0,0.14780878265
369,9,83.5,0.5,4.75,47.485,2.5,0.39414955977500005
370,10,133.5,31.0,4.1,48.459999999999994,4.0,0.68036720205
371,11,125.0,0.0,3.35,51.31,5.0,0.58651700375
372,12,157.0,574.0,2.4000000000000004,55.53,5.0,2.0551555817500002
373,13,200.5,320.0,1.7000000000000002,61.65,5.0,1.6375554749999999
374,14,98.0,308.5,1.5,60.480000000000004,5.0,0.985348566575
375,15,76.5,502.0,1.5,60.54,4.5,1.0158518085000001
376,16,44.5,96.0,1.6,59.865,2.5,0.26980462887499995
377,17,0.0,0.0,1.75,58.605000000000004,1.5,0.0
378,18,0.0,0.0,2.05,58.79,1.0,0.0
379,19,0.0,0.0,2.8,57.144999999999996,0.5,0.0
380,20,0.0,0.0,3.6,55.3,0.0,0.0
381,21,0.0,0.0,3.9,57.9,0.0,0.0
382,22,0.0,0.0,3.95,57.695,0.0,0.0
383,23,0.0,0.0,3.8,58.1,0.0,0.0
384,0,0.0,0.0,3.4000000000000004,62.94,0.0,0.0
385,1,0.0,0.0,2.8,64.165,-1.0,0.0
386,2,0.0,0.0,2.6,68.75,-1.0,0.0
387,3,0.0,0.0,3.05,67.905,-1.0,0.0
388,4,0.0,0.0,3.6,66.52000000000001,-1.0,0.0
389,5,0.0,0.0,4.1,65.02000000000001,-1.0,0.0
390,6,0.0,0.0,4.8,63.375,-1.5,0.0
391,7,5.0,159.0,5.949999999999999,59.489999999999995,-0.5,0.037539151
392,8,29.5,728.5,6.55,55.0,0.0,0.6475503547
393,9,41.0,923.5,6.65,47.94,1.5,1.46165555225
394,10,47.0,1000.0,6.45,40.82,3.0,2.1138537454999997
395,11,51.5,1029.5,6.199999999999999,35.144999999999996,4.0,2.51970474125
396,12,53.0,1034.0,5.9,31.6,5.0,2.6393265175000002
397,13,116.5,721.0,5.35,31.835,4.5,2.137277451
398,14,154.0,367.0,4.35,37.1,3.5,1.40062483125
399,15,97.5,370.0,2.95,50.87,1.5,0.9173475062499999
400,16,40.0,0.0,2.7,57.095,0.0,0.18769575499999996
401,17,0.0,0.0,3.35,60.16,-1.0,0.0
402,18,0.0,0.0,4.3,60.345,-2.0,0.0
403,19,0.0,0.0,4.9,55.19,-2.0,0.0
404,20,0.0,0.0,4.449999999999999,51.2,-2.0,0.0
405,21,0.0,0.0,4.0,48.22,-2.0,0.0
406,22,0.0,0.0,3.7,44.7,-2.0,0.0
407,23,0.0,0.0,3.75,42.415,-2.0,0.0
408,0,0.0,0.0,4.0,43.614999999999995,-2.0,0.0
409,1,0.0,0.0,4.4,45.09,-2.0,0.0
410,2,0.0,0.0,4.75,45.754999999999995,-1.5,0.0
411,3,0.0,0.0,5.0,47.17,-1.0,0.0
412,4,0.0,0.0,5.1,47.95,-1.0,0.0
413,5,0.0,0.0,5.0,47.07,-1.0,0.0
414,6,0.0,0.0,4.699999999999999,47.06,-0.5,0.0
415,7,4.5,0.0,4.55,48.58,0.0,0.02111577245
416,8,54.5,170.0,4.7,47.61,0.5,0.38008111912500003
417,9,119.0,231.0,4.9,46.625,3.5,0.86571320175
418,10,113.0,644.0,5.2,46.5,6.5,1.73137034825
419,11,133.0,631.5,5.15,45.81,8.0,2.04101187625
420,12,102.0,798.0,4.85,45.35,9.0,2.33423505375
421,13,120.0,691.0,4.0,50.155,8.5,2.097302425
422,14,136.5,466.5,2.75,58.370000000000005,6.5,1.5131878795
423,15,61.0,663.5,2.3,69.595,4.5,1.17069291625
424,16,39.0,379.5,2.05,78.21000000000001,2.5,0.417610678425
425,17,0.0,0.0,2.2,76.525,0.5,0.0
426,18,0.0,0.0,2.3,79.82499999999999,0.0,0.0
427,19,0.0,0.0,2.7,77.03,0.0,0.0
428,20,0.0,0.0,3.0,74.705,0.0,0.0
429,21,0.0,0.0,3.1500000000000004,73.245,0.0,0.0
430,22,0.0,0.0,3.3,72.10499999999999,0.0,0.0
431,23,0.0,0.0,3.25,71.05000000000001,0.0,0.0
432,0,0.0,0.0,3.05,70.185,0.0,0.0
433,1,0.0,0.0,2.8499999999999996,69.76,0.0,0.0
434,2,0.0,0.0,2.6500000000000004,69.655,0.0,0.0
435,3,0.0,0.0,2.4,69.63499999999999,0.0,0.0
436,4,0.0,0.0,2.1500000000000004,72.12,0.0,0.0
437,5,0.0,0.0,1.95,69.61500000000001,0.0,0.0
438,6,0.0,0.0,1.75,69.41499999999999,0.0,0.0
439,7,4.5,0.0,1.7,67.50999999999999,0.5,0.021115540375
440,8,56.5,121.5,1.75,65.21000000000001,3.5,0.35191535922499995
